hour,day,month,air_temperature,humidity,irradiance,pressure,rain,wind_direction,wind_velocity
0,5,11,6.125876623839155,64.1000611570237,-13.556991656202626,999.5745625649813,0.0013258933899895622,199.6647474721016,0.12789062695200482
1,5,11,5.8228865758634605,62.91595283983771,-13.556991656202626,999.4712532798583,0.0013258933899895622,324.76789613703966,0.2610669662785079
2,5,11,5.418899845229202,66.46827779139569,-13.556991656202626,999.0580161393659,0.0013258933899895622,63.93191950883542,0.5032057650539685
3,5,11,5.418899845229202,62.91595283983771,-13.556991656202626,998.5414697137506,0.0013258933899895622,82.73827519049277,0.6000612845641529
4,5,11,2.5909927307893916,81.8616859148136,-13.556991656202626,998.3348511435044,0.0013258933899895622,77.8322693604952,0.6969168040743371
5,5,11,2.792986096106521,80.67757759762762,-13.556991656202626,998.1282325732582,0.0013258933899895622,89.27961629715621,0.33370860591114626
6,5,11,2.489996048130827,81.8616859148136,-13.556991656202626,998.0249232881353,0.0013258933899895622,77.8322693604952,0.6969168040743371
7,5,11,2.2880026828136977,85.4140108663716,-13.556991656202626,998.1282325732582,0.0013258933899895622,74.56159880716349,0.5274196449315146
8,5,11,2.9949794614236502,85.4140108663716,20.81617700435436,998.6447789988736,0.0013258933899895622,74.56159880716349,0.5274196449315146
9,5,11,5.418899845229202,90.15044413511556,134.66593140387113,998.6447789988736,0.0013258933899895622,199.6647474721016,0.12789062695200482
10,5,11,8.8527870556204,78.30936096325563,252.8805326174269,998.2315418583813,0.0013258933899895622,273.2548349220652,0.12789062695200482
11,5,11,11.781690852718777,62.91595283983771,334.7214103806578,997.818304717889,0.0013258933899895622,273.2548349220652,0.12789062695200482
12,5,11,13.498634457914376,58.179519571093735,388.82732401301604,996.8885211517813,0.0013258933899895622,221.74177370709066,0.2610669662785079
13,5,11,14.811591332475718,51.07486966797777,396.73860886346165,995.9587375856737,0.0013258933899895622,162.8697037471198,0.6727029241967911
14,5,11,15.417571428427104,47.52254471641979,333.81206729439975,995.028954019566,0.0013258933899895622,177.5877212371125,0.5274196449315146
15,5,11,15.215578063109977,53.443086302349755,237.87637169416791,994.6157168790736,0.0013258933899895622,171.86404776878203,0.4305641254213304
16,5,11,14.609597967158589,62.91595283983771,126.29997501029641,994.2024797385814,0.0013258933899895622,346.8449223720288,0.12789062695200482
17,5,11,12.791657679304423,60.547736205465725,17.542541893825117,994.2024797385814,0.0013258933899895622,188.2174005354406,0.5032057650539685
18,5,11,11.377704122084518,58.179519571093735,-13.556991656202626,994.0991704534583,0.0013258933899895622,310.04987864704697,0.33370860591114626
19,5,11,9.155777103596096,71.20471106013967,-13.556991656202626,994.2024797385814,0.0013258933899895622,61.47891659383663,0.6000612845641529
20,5,11,7.438833498400496,79.49346928044163,-13.556991656202626,993.9958611683352,0.0013258933899895622,199.6647474721016,0.37002942572746544
21,5,11,7.337836815741931,73.57292769451165,-13.556991656202626,993.8925518832121,0.0013258933899895622,74.56159880716349,0.2610669662785079
22,5,11,7.034846767766237,71.20471106013967,-13.556991656202626,993.685933312966,0.0013258933899895622,324.76789613703966,0.2610669662785079
23,5,11,6.731856719790543,65.2841694742097,-13.556991656202626,993.3760054575968,0.0013258933899895622,346.8449223720288,0.46688494523764956
